Province_State,Admin2,UID,iso2,iso3,code3,Lat,Long_,Total_confirmed_cases_01_2020,Total_confirmed_cases_02_2020,Total_confirmed_cases_03_2020,Total_confirmed_cases_04_2020,Total_confirmed_cases_05_2020,Total_confirmed_cases_06_2020,Total_confirmed_cases_07_2020,Total_confirmed_cases_08_2020,Total_confirmed_cases_09_2020,Total_confirmed_cases_10_2020,Total_confirmed_cases_11_2020,Total_confirmed_cases_12_2020,Total_confirmed_cases_01_2021,Total_confirmed_cases_02_2021,Total_confirmed_cases_03_2021,Total_confirmed_cases_04_2021,Total_confirmed_cases_05_2021,Total_confirmed_cases_06_2021,Total_confirmed_cases_07_2021,Total_confirmed_cases_08_2021,Total_confirmed_cases_09_2021,Total_confirmed_cases_10_2021,Total_confirmed_cases_11_2021,Total_confirmed_cases_12_2021,Total_confirmed_cases_01_2022,Total_confirmed_cases_02_2022,Total_confirmed_cases_03_2022,Total_confirmed_cases_04_2022,Total_confirmed_cases_05_2022,Total_confirmed_cases_06_2022,Total_confirmed_cases_07_2022,Total_confirmed_cases_08_2022,Total_confirmed_cases_09_2022,Total_confirmed_cases_10_2022,Total_confirmed_cases_11_2022,Total_confirmed_cases_12_2022,Total_confirmed_cases_01_2023,Total_confirmed_cases_02_2023,Total_confirmed_cases_03_2023
Alabama,Chilton,84001021,US,USA,840,32.85044126,-86.7173256,0,0,11,55,105,218,709,1203,1604,1951,2274,2970,3544,3870,4034,4224,4430,4481,4763,5641,6445,6794,7042,7424,9977,10594,11044,11120,11169,11339,11774,12120,12386,12447,12511,12596,12829,12956,13009
Alabama,Choctaw,84001023,US,USA,840,32.02227341,-88.26564429999998,0,0,4,44,152,192,274,323,355,395,427,490,535,550,584,600,613,624,644,683,764,903,932,1026,1778,2017,2046,2050,2061,2101,2144,2158,2188,2194,2201,2204,2236,2255,2259
Alabama,Clarke,84001025,US,USA,840,31.68099859,-87.83548597,0,0,0,31,144,256,488,984,1113,1403,1598,2390,3227,3436,3478,3502,3521,3533,3705,4184,4655,4778,4849,4944,6756,7037,7101,7143,7170,7308,7685,7893,8027,8054,8093,8184,8430,8529,8553
Alabama,Clay,84001027,US,USA,840,33.26984193,-85.85836077,0,0,2,20,24,55,194,375,590,774,920,1141,1328,1443,1481,1530,1578,1603,1656,2003,2312,2468,2511,2658,3902,4065,4089,4086,4112,4222,4425,4643,4744,4780,4866,4941,5079,5134,5162
Alabama,Cleburne,84001029,US,USA,840,33.67679204,-85.52005899,0,0,5,12,14,28,112,230,417,591,778,1026,1281,1377,1452,1482,1504,1542,1611,1878,2400,2494,2545,2649,3382,3530,3558,3559,3572,3609,3727,3811,4104,4136,4192,4222,4342,4393,4428
Alabama,Coffee,84001031,US,USA,840,31.39932826,-85.98901039,0,0,0,110,235,348,709,1087,1386,1875,2483,3594,4915,5245,5384,5479,5605,5673,6342,7999,9030,9277,9425,9782,12807,13296,13556,13599,13762,14190,14928,15623,15990,16093,16216,16328,16774,17094,17185
Alabama,Colbert,84001033,US,USA,840,34.69847452,-87.80168544,0,0,4,35,187,374,1063,1461,1691,2303,3296,4660,5736,6004,6170,6278,6347,6431,6691,7687,8608,9126,9342,9822,15233,16138,16288,16333,16465,17010,17945,18935,19481,19654,19864,20165,20738,21197,21291
Alabama,Conecuh,84001035,US,USA,840,31.43401703,-86.99320044,0,0,0,9,41,181,373,484,536,578,688,837,1007,1067,1086,1098,1119,1142,1206,1552,1829,1892,1931,1983,2757,2838,2855,2863,2882,2970,3159,3274,3340,3354,3373,3410,3538,3589,3604
Alabama,Coosa,84001037,US,USA,840,32.93690146,-86.24847739,0,0,3,30,40,55,95,142,180,229,354,517,678,888,944,1067,1100,1123,1181,1414,1729,1816,1855,1948,2761,2913,2953,2968,2988,3061,3232,3380,3503,3518,3554,3643,3713,3755,3776
Alabama,Covington,84001039,US,USA,840,31.2477854,-86.45050893,0,0,2,39,84,311,771,1082,1410,1887,2204,2913,3581,3957,4041,4105,4217,4296,4738,5690,6518,6749,6943,7139,8910,9234,9302,9333,9384,9677,10212,10513,10907,11010,11124,11250,11560,11765,11804
