Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
Mauritius,Unknown,-20.348404,57.552152,0,0,3,10,10,10,10,10,10,10,10,10,10,10,10,16,18,18,20,31,84,176,527,786,822,904,968,990,996,1003,1013,1023,1026,1032,1034,1041,1043,1044,1044
Mexico,Unknown,23.6345,-102.5528,0,0,29,1859,9930,27769,46688,64414,77646,91753,105940,125807,158536,185715,203210,216907,223568,233047,240906,259326,277507,288365,293950,299428,306091,318149,323016,324334,324922,325716,327525,329390,330112,330392,330495,331105,332198,332988,333188
Micronesia,Unknown,7.4256,150.5508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,31,55,58,58,58,60,61
Moldova,Unknown,47.4116,28.3699,0,0,4,116,295,545,778,995,1320,1785,2304,2985,3438,3949,4960,5812,6107,6194,6255,6401,6777,7790,9119,10275,10642,11216,11431,11489,11537,11567,11608,11755,11844,11887,11918,11933,11953,11974,12003
Monaco,Unknown,43.7333,7.4167,0,0,1,4,4,4,4,4,4,2,3,3,13,24,28,32,32,33,33,33,33,36,36,38,47,51,54,57,57,58,61,61,63,65,65,65,65,67,67
Mongolia,Unknown,46.8625,103.8467,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,118,253,496,713,836,1204,1661,1930,1986,2036,2096,2108,2110,2115,2118,2119,2128,2131,2131,2134,2136,2136,2136,2136
Montenegro,Unknown,42.708678,19.37439,0,0,2,7,9,12,48,100,169,301,499,682,805,1003,1274,1495,1584,1613,1630,1724,1923,2103,2307,2411,2564,2680,2702,2714,2720,2729,2746,2773,2782,2786,2790,2791,2797,2804,2808
Morocco,Unknown,31.7917,-7.0926,0,0,36,170,205,228,353,1141,2194,3695,5846,7388,8275,8623,8818,9023,9147,9296,9785,12649,14267,14668,14776,14849,15400,15988,16060,16069,16076,16109,16237,16273,16278,16281,16284,16294,16296,16296,16296
Mozambique,Unknown,-18.665695,35.529562,0,0,0,0,2,6,11,23,61,92,131,166,367,641,775,814,836,878,1434,1864,1917,1930,1941,2006,2173,2192,2200,2201,2203,2212,2215,2220,2222,2224,2226,2230,2233,2242,2242
Namibia,Unknown,-22.9576,18.4904,0,0,0,0,0,0,10,75,121,133,151,205,352,424,523,642,830,1521,3044,3375,3511,3554,3573,3633,3967,4007,4019,4025,4038,4064,4072,4077,4080,4080,4080,4082,4088,4090,4090
Nauru,Unknown,-0.5228,166.9315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Nepal,Unknown,28.1667,84.25,0,0,0,0,8,29,56,228,498,937,1508,1856,2029,2774,3030,3279,7386,9112,9857,10750,11135,11407,11526,11594,11743,11936,11951,11951,11952,11952,11967,12001,12018,12019,12019,12019,12020,12020,12020
Netherlands,Aruba,12.5211,-69.9683,0,0,0,2,3,3,3,10,27,38,45,49,59,73,86,99,107,107,110,146,166,171,174,181,193,211,212,271,213,221,224,227,230,232,236,280,281,282,282
Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,15,17,17,17,17,19,20,22,23,28,31,31,34,35,37,37,38,38,38,38,39,41,41,41
Netherlands,Curacao,12.1696,-68.99,0,0,1,1,1,1,1,1,1,1,4,14,21,22,35,109,122,126,126,144,163,174,178,189,232,261,267,274,277,278,282,287,287,290,295,299,301,301,301
Netherlands,Sint Maarten,18.0425,-63.0548,0,0,0,13,15,15,15,17,22,22,25,27,27,27,27,27,28,33,34,51,66,75,75,75,79,85,86,86,86,86,87,87,87,88,89,89,89,91,91
Netherlands,Unknown,52.1326,5.2913,0,0,1039,4795,5956,6113,6159,6224,6406,7395,9376,11432,13998,15563,16538,17148,17623,17745,17827,18010,18170,18411,19414,20924,21277,21554,21987,22249,22322,22378,22492,22600,22650,22811,22910,22990,22990,22990,22990
New Zealand,Cook Islands,-21.2367,-159.7777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2
New Zealand,Niue,-19.0544,-169.8672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,Unknown,-40.9006,174.886,0,0,1,20,23,23,23,25,26,26,26,26,27,28,28,28,28,28,28,29,29,31,41,48,52,84,365,636,890,1106,1502,1908,2030,2106,2212,2331,2477,2542,2548
Nicaragua,Unknown,12.865416,-85.207229,0,0,1,3,35,74,116,137,151,156,160,165,169,173,178,182,186,191,195,199,204,208,212,217,220,224,230,234,238,242,244,244,245,245,245,245,245,245,245
Niger,Unknown,17.607789,8.081666,0,0,3,32,64,67,69,69,69,69,72,104,159,172,186,191,192,193,195,199,201,213,259,275,298,307,308,309,310,310,311,312,313,314,314,314,315,315,315
Nigeria,Unknown,9.082,8.6753,0,0,2,58,287,590,879,1013,1112,1144,1173,1289,1586,1907,2057,2063,2099,2120,2149,2469,2721,2896,2977,3030,3136,3142,3142,3143,3143,3148,3147,3148,3155,3155,3155,3155,3155,3155,3155
North Macedonia,Unknown,41.6086,21.7453,0,0,9,77,133,302,486,603,739,994,1763,2503,2855,3137,3781,4855,5413,5484,5493,5938,6668,7132,7581,7960,8409,9010,9221,9280,9303,9325,9370,9489,9535,9564,9568,9614,9638,9662,9662
Norway,Unknown,60.472,8.4689,0,0,39,210,236,250,255,264,274,282,332,436,564,622,673,756,783,794,799,814,861,900,1054,1305,1440,1598,2518,2932,3141,3337,3623,3980,4098,4208,4384,4670,5112,5175,5213
Oman,Unknown,21.512583,55.923255,0,0,1,11,49,176,421,685,935,1208,1423,1499,1529,1570,1678,2010,2345,3100,3814,4064,4096,4111,4113,4116,4146,4244,4250,4258,4260,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628
Pakistan,Unknown,30.3753,69.3451,0,0,27,417,1543,4395,5951,6294,6484,6823,8091,10176,11683,12896,14530,17957,20850,22321,23422,25889,27785,28456,28737,28933,29301,30196,30359,30369,30379,30395,30487,30581,30616,30626,30632,30636,30640,30643,30644
Palau,Unknown,7.515,134.5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,7,7,9,9,9,9
Panama,Unknown,8.538,-80.7821,0,0,30,188,336,631,1421,2002,2372,2700,3079,4022,5270,5845,6114,6232,6371,6545,6823,7061,7228,7315,7365,7428,7716,8083,8170,8184,8255,8364,8412,8470,8497,8509,8526,8567,8596,8604,8609
Papua New Guinea,Unknown,-6.314993,143.95555,0,0,0,0,0,0,2,5,7,7,7,9,9,12,60,107,162,173,192,192,229,370,546,590,597,638,640,650,651,662,663,664,668,668,668,669,670,670,670
Paraguay,Unknown,-23.4425,-58.4438,0,0,3,10,11,17,49,326,857,1404,1756,2262,2719,3181,4206,6385,9186,12895,14981,15767,16198,16246,16472,16624,17321,18359,18664,18870,18894,18963,19220,19478,19591,19601,19621,19688,19820,19870,19878
Peru,Unknown,-9.19,-75.0152,0,0,138,4782,20710,37898,55982,73612,82135,86494,89449,93070,103810,122502,143416,166701,183783,192331,196353,198263,199367,200246,201176,202690,205834,210672,212222,212824,213195,213509,214303,215762,216575,217012,217414,218232,218931,219439,219539
Philippines,Unknown,12.879721,121.774017,0,1,88,568,957,1266,2023,3558,5504,7221,8392,9244,10749,12318,13297,17234,20966,24662,27889,33448,38294,43172,48545,51504,54003,56451,59249,60341,60458,60555,60727,61814,62947,64074,64641,65385,65779,66111,66188
