Country/Region,Province/State,Lat,Long,Total_deaths_2020-12,Total_deaths_2021-12,Total_deaths_2022-12,Total_deaths_2023-12
Rwanda,Unknown,-1.9403,29.8739,5360,258925,531859,99822
Saint Kitts and Nevis,Unknown,17.357822,-62.782998,0,2727,15657,3138
Saint Lucia,Unknown,13.9094,-60.9789,160,43587,137558,27812
Saint Vincent and the Grenadines,Unknown,12.9843,-61.2872,0,8665,39875,8316
Samoa,Unknown,-13.759,-172.1046,0,0,7170,1972
San Marino,Unknown,43.9424,12.4578,12017,31332,42007,8280
Sao Tome and Principe,Unknown,0.1864,6.6131,3410,14116,26910,5236
Saudi Arabia,Unknown,23.885942,45.079162,869637,2813031,3358566,651160
Senegal,Unknown,14.4974,-14.4524,55512,484530,715996,133941
Serbia,Unknown,44.0165,21.0059,206832,2636494,5863899,1203904
Seychelles,Unknown,-4.6796,55.492,0,23584,60090,11696
Sierra Leone,Unknown,8.460555,-11.779889,15538,36424,45751,8568
Singapore,Unknown,1.2833,103.8333,6795,59551,507938,116939
Slovakia,Unknown,48.669,19.699,66667,4060746,7210908,1424171
Slovenia,Unknown,46.1512,14.9955,118309,1585305,2403884,479634
Solomon Islands,Unknown,-9.6457,160.1562,0,0,46834,10404
Somalia,Unknown,5.152149,46.199616,23425,286410,495335,92548
South Africa,Unknown,-30.5595,22.9375,2968151,24393223,36693758,6975912
South Sudan,Unknown,6.877,31.307,10492,40998,50280,9384
Spain,Unknown,40.463667,-3.74922,8720097,28644917,39150740,8058447
Sri Lanka,Unknown,7.873054,80.771797,9248,2108672,6000671,1144176
Sudan,Unknown,12.8628,30.2176,189498,931931,1719159,340328
Summer Olympics 2020,Unknown,35.6491,139.7737,0,0,0,0
Suriname,Unknown,3.9193,-56.0278,15480,205290,491950,95172
Sweden,Unknown,60.128161,18.643501,1438568,5103122,6942503,1574953
Switzerland,Unknown,46.8182,8.2275,694613,3883259,4991749,966656
Syria,Unknown,34.802075,38.996815,43439,663243,1140879,215140
Taiwan*,Unknown,23.7,121.0,1939,166958,2373820,1131058
Tajikistan,Unknown,38.861,71.2761,16024,38942,45625,8500
Tanzania,Unknown,-6.369028,34.888822,5282,74202,300488,57518
Thailand,Unknown,15.870032,100.992541,15565,2687780,10654316,2300892
Timor-Leste,Unknown,-8.874217,125.727539,0,16971,48339,9384
Togo,Unknown,8.6195,0.8248,8764,56718,101298,19720
Tonga,Unknown,-21.179,-175.1982,0,0,3267,873
Trinidad and Tobago,Unknown,10.6918,-61.2225,13090,339736,1433525,293862
Tunisia,Unknown,33.886917,9.537499,225290,5980789,10399324,1993001
Turkey,Unknown,38.9637,35.2433,2063533,18166329,35677396,6901456
Tuvalu,Unknown,-7.1095,177.6493,0,0,0,0
US,Unknown,40.0,-100.0,46811911,223468753,368125532,75471019
Uganda,Unknown,1.373333,32.290275,16752,614221,1312672,246840
Ukraine,Unknown,48.3794,31.1656,1240038,19421018,41967357,8092188
United Arab Emirates,Unknown,23.424076,53.847818,99619,623527,843882,159684
United Kingdom,Anguilla,18.2206,-63.0686,0,248,3608,816
United Kingdom,Bermuda,32.3078,-64.7505,2304,16187,50161,10705
United Kingdom,British Virgin Islands,18.4207,-64.64,257,6274,22294,4352
United Kingdom,Cayman Islands,19.3133,-81.2546,337,980,9954,2516
United Kingdom,Channel Islands,49.3723,-2.3644,0,0,0,0
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,0,0,0,0
United Kingdom,Gibraltar,36.1408,-5.3536,237,32874,38160,7543
United Kingdom,Guernsey,49.448196,-2.58949,4233,6768,18012,4492
United Kingdom,Isle of Man,54.2361,-4.5481,6144,13841,37102,7888
United Kingdom,Jersey,49.2138,-2.1358,7926,26330,46383,10675
United Kingdom,Montserrat,16.742498,-62.187366,252,365,2014,544
United Kingdom,Pitcairn Islands,-24.3768,-128.3242,0,0,0,0
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,4,0,0,0
United Kingdom,Turks and Caicos Islands,21.694,-71.7979,921,6562,12936,2550
United Kingdom,Unknown,55.3781,-3.436,15809047,56499716,73207268,14894897
Uruguay,Unknown,-32.5228,-55.7658,12265,1470792,2637291,517023
Uzbekistan,Unknown,41.377491,64.585262,75614,332793,592902,111316
Vanuatu,Unknown,-15.3767,166.9592,0,255,3732,952
Venezuela,Unknown,6.4238,-66.5897,106495,1141073,2085017,397462
Vietnam,Unknown,14.058324,108.277199,4908,2936699,15332101,2936648
West Bank and Gaza,Unknown,31.9522,35.2332,74921,1251129,2040515,388144
Winter Olympics 2022,Unknown,39.9042,116.4074,0,0,0,0
Yemen,Unknown,15.552727,48.516388,108944,480906,778784,146812
Zambia,Unknown,-13.133897,27.849332,53042,849928,1453709,275043
Zimbabwe,Unknown,-19.015438,29.154857,36683,1029500,2010155,384379
